Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Inferred_Support,Inferred_Confidence,Inferred_PCA
?a  <family>  <Father>  ?a  <histology>  <small_cell_carcinoma_of_lung>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.018417462,0.981818182,1,54,55,40,?a,54,0.056133058,1
?a  <family>  <Brother>  ?a  <histology>  <small_cell_carcinoma_of_lung>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.015347885,1,1,45,45,38,?a,45,0.046777546,1
?a  <family>  <Mother>  ?a  <histology>  <small_cell_carcinoma_of_lung>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.012278308,1,1,36,36,41,?a,36,0.03742204,1
?a  <stage>  <IIIB>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.043997271,0.914893617,0.934782609,129,141,33,?a,132,0.13721414,0.95652175
?a  <histology>  <adenocarcinoma>  ?a  <oncologicalTreatment>  <Radiotherapy>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.092769441,0.934707904,0.934707904,272,291,51,?a,275,0.28586277,0.9417808
?a  <oncologicalTreatment>  <Radiotherapy>  ?a  <stage>  <IIIA>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.052523874,0.933333333,0.933333333,154,165,87,?a,155,0.16112266,0.93373495
?a  <biomarker>  <PDL1>  ?a  <histology>  <adenocarcinoma>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.028649386,0.893617021,0.933333333,84,94,37,?a,84,0.087318085,0.93333334
?a  <family>  <Father>  ?a  <oncologicalTreatment>  <Radiotherapy>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.056957708,0.932960894,0.932960894,167,179,33,?a,170,0.17671518,0.9392265
?a  <oncologicalTreatment>  <Radiotherapy>  ?a  <smokingHabit>  <CurrentSmoker>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.084242838,0.932075472,0.932075472,247,265,53,?a,252,0.26195425,0.9402985
?a  <smokingHabit>  <NonSmoker>   ,?a  <oncologicalTreatment>  <Chemotherapy>,0.032742156,0.727272727,0.761904762,96,132,126,?a,97,0.1008316,0.7637795
?a  <gender>  <Female>  ?a  <stage>  <IIIA>   ,?a  <oncologicalTreatment>  <Surgery>,0.016712142,0.720588235,0.720588235,49,68,68,?a,49,0.09315589,0.7205882
